,и╚тС,╦Ы╣ы,гц╩В,нфюМ,фЙ╡©,╢╔╦п,╨ц╧о
0,гЮбл,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,╨ц╧о
1,нз╨з,РИкУ,Ёацф,гЕнЗ,╟╪ощ,с╡╩╛,╨ц╧о
2,нз╨з,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,╨ц╧о
3,гЮбл,РИкУ,Ёацф,гЕнЗ,╟╪ощ,с╡╩╛,╨ц╧о
4,гЁ╟в,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,╨ц╧о
5,гЮбл,итРИ,вгоЛ,гЕнЗ,ит╟╪,хМуЁ,╨ц╧о
6,нз╨з,итРИ,вгоЛ,ит╨Щ,ит╟╪,хМуЁ,╨ц╧о
7,нз╨з,итРИ,вгоЛ,гЕнЗ,ит╟╪,с╡╩╛,╨ц╧о
8,нз╨з,итРИ,Ёацф,ит╨Щ,ит╟╪,с╡╩╛,╩╣╧о
9,гЮбл,с╡м╕,гЕ╢Ю,гЕнЗ,ф╫л╧,хМуЁ,╩╣╧о
10,гЁ╟в,с╡м╕,гЕ╢Ю,дё╨Щ,ф╫л╧,с╡╩╛,╩╣╧о
11,гЁ╟в,РИкУ,вгоЛ,дё╨Щ,ф╫л╧,хМуЁ,╩╣╧о
12,гЮбл,итРИ,вгоЛ,ит╨Щ,╟╪ощ,с╡╩╛,╩╣╧о
13,гЁ╟в,итРИ,Ёацф,ит╨Щ,╟╪ощ,с╡╩╛,╩╣╧о
14,нз╨з,итРИ,вгоЛ,гЕнЗ,ит╟╪,хМуЁ,╩╣╧о
15,гЁ╟в,РИкУ,вгоЛ,дё╨Щ,ф╫л╧,с╡╩╛,╩╣╧о
16,гЮбл,РИкУ,Ёацф,ит╨Щ,ит╟╪,с╡╩╛,╩╣╧о
